ASV_ID	GB81	GB82	GB83	GB84	GB85	GB86	PBS81	PBS82	PBS83	PBS84	PBS85	PBS86	PE81	PE82	PE83	PE84	PE85	PE86
ASV287	6089	4598	4143	2560	1089	4678	1752228	958070	1176707	709315	449931	819336	61689	113117	90660	17132	128593	54151
ASV288	0	286	484	1047	509	780	43148	68736	414192	51521	242823	118533	0	9573	0	0	10626	5163
ASV289	0	0	1810	0	0	0	92610	25906	74594	8027	17660	11993	13685	0	0	0	0	0
ASV291	13322	9328	18043	10540	8707	52150	125364	49385	144002	106406	141612	27885	35887	87004	65570	85168	175683	97454
ASV292	3398	3656	4984	6177	1709	8075	19125	13506	0	7374	8353	15826	17124	20261	30481	20899	20593	24050
ASV293	0	0	1671	0	878	3436	135810	122512	234972	88432	201416	124756	0	0	20959	0	12172	0
ASV295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV296	0	0	0	0	0	0	183926	0	0	0	14387	23074	0	0	0	0	0	0
ASV297	45854	12364	23510	28777	11522	8837	119590	35356	144450	0	37936	41886	70107	43629	0	106844	82423	37997
ASV298	3048	3236	2755	3213	4019	1032	0	0	0	0	0	0	0	0	0	0	0	0
ASV300	701	0	0	0	301	0	69633	36974	180099	90179	61001	0	0	0	0	0	0	2290
ASV301	3452	23760	110299	0	43927	5439	0	0	24434	0	4127	0	0	91016	223861	0	290976	0
